DateTime	SeamountDeaerationTowerDischargeORPLevel	SeamountDeaerationTowerWaterLevel	SeamountExhibitReturnORP1Level	SeamountExhibitReturnORP2Level	SeamountExhibitWaterLevel	SeamountExhibitWaterTemperature1	SeamountExhibitWaterTemperature2	SeamountOZCTower1DischargeORPLevel	SeamountOZCTower1WaterLevel	SeamountOZCTower2DischargeORPLevel	SeamountOZCTower2WaterLevel	SeamountRecoveryBasin1ORPLevel	SeamountRecoveryBasin1WaterLevel	SeamountRecoveryBasin2ORPLevel	SeamountRecoveryBasin2WaterLevel	SeamountPSK1DischargeORPLevel	SeamountPSK2DischargeORPLevel	SeamountPSK1WaterLevel	SeamountPSK2WaterLevel	SeamountPSK4DischargeORPLevel	SeamountPSK4WaterLevel	SeamountRecoveryPSKDischargeORPLevel	SeamountRecoveryPSKWaterLevel	SeamountFilter12Flow	SeamountFilter34Flow	SeamountFilter56Flow	SeamountFilter78Flow	SeamountRecoveryOZCTowerDischargeORPLevel	SeamountOZCTower1Flow	SeamountOZCTower2Flow	SeamountRecoveryFilterFlow	SeamountRecoveryOZCTowerFlow	SeamountRecoveryOZCWaterLevel	SeamountDenitrificationFilterFlow	SeamountPSK3DischargeORPLevel	SeamountPSK3WaterLevel	SeamountFilter910Flow	SeamountPSK5DischargeORPLevel	SeamountPSK5WaterLevel
1/1/16 0:00	578	84.2	625	641	-0.11	59.3	59.5	636	140.2	620	140.1	761	19219	792	2424	570	587	130.8	129.9	610	130.5	787	63.21	1803	1800	1804	1797	639	1399	1429	239	51	50.085	1	600	129	1801	571	114.9
1/1/16 0:15	578	84.2	619	635	-0.12	59.3	59.5	637	140.2	620	139.8	765	19207	792	2415	566	583	131.1	130	606	130.5	794	63.28	1801	1799	1801	1805	624	1409	1414	240	51	49.796	2	596	129	1800	568	115
1/1/16 0:30	578	84.2	614	630	-0.11	59.3	59.4	637	140.2	620	139.8	767	19003	793	2634	563	579	131.1	130	602	130.5	798	63.43	1799	1800	1800	1802	620	1382	1405	240	51	49.994	1	592	129	1801	565	115
1/1/16 0:45	579	84.3	611	626	-0.1	59.3	59.4	637	140.2	620	139.9	761	18320	795	3310	561	576	130.8	130	599	130.5	795	63.28	1799	1799	1794	1790	631	1402	1377	239	51	50.313	1	589	129.1	1801	563	114.9
1/1/16 1:00	579	84.2	608	623	-0.11	59.2	59.4	638	140.1	620	140	757	17618	797	4017	558	573	131.1	130	596	130.5	791	63.19	1799	1801	1801	1796	633	1398	1386	240	51	50.006	2	586	129	1802	561	115
1/1/16 1:15	579	84.3	604	620	-0.11	59.2	59.4	639	140.1	620	139.7	754	16911	798	4726	556	571	130.8	129.9	593	130.4	786	63.26	1805	1800	1806	1796	632	1411	1397	239	51	49.898	1	583	129.1	1799	559	114.9
1/1/16 1:30	581	84.2	602	618	-0.12	59.1	59.3	639	139.9	620	140	751	16200	800	5449	554	569	131.2	130.1	591	130.6	785	63.18	1801	1799	1796	1796	627	1399	1378	239	51	50	1	581	128.9	1795	558	115.1
1/1/16 1:45	581	84.3	600	615	-0.13	59.1	59.3	639	140.2	620	139.9	747	15507	800	6145	553	567	130.9	130	590	130.4	780	63.16	1797	1801	1802	1807	631	1366	1388	239	51	49.921	1	579	129.1	1798	556	114.9
1/1/16 2:00	582	84.2	598	614	-0.13	59.1	59.2	639	140.1	620	139.9	744	14792	800	6850	551	566	131.1	130	588	130.5	776	63.16	1804	1800	1800	1805	634	1383	1407	240	51	49.93	1	578	129	1805	554	115.1
1/1/16 2:15	582	84.1	596	612	-0.13	59.1	59.2	640	140.2	620	140.1	741	14089	799	7566	550	564	131.2	130	587	130.5	772	63.42	1802	1800	1797	1807	632	1407	1397	240	51	49.944	1	576	128.9	1800	553	115
1/1/16 2:30	583	84.3	595	611	-0.13	59	59.2	641	140.2	621	139.8	737	13377	799	8264	549	563	130.9	130	586	130.5	768	63.22	1811	1800	1801	1802	631	1421	1419	240	51	49.972	1	575	129	1803	552	114.9
