Id	DateTime	System	Type	Name	Event	AcknowledgedBy	AcknowledgedDate
687491	1/1/2016 12:14:56 AM	RCKACS004	Alarm	Seamount Recovery PSK Discharge ORP Level	Warning: Seamount Recovery PSK Discharge ORP Level above high limit 796		
687492	1/1/2016 12:51:09 AM	RCKACS004	Alarm	Seamount Recovery PSK Discharge ORP Level	Warning: Seamount Recovery PSK Discharge ORP Level alarm restored		
687493	1/1/2016 5:00:33 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Stopping		
687494	1/1/2016 5:01:18 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Enabled		
687495	1/1/2016 5:16:04 AM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687496	1/1/2016 5:37:27 AM	Seamount	Protein Skimmer Process	Seamount PSK 1	Seamount PSK 1 Ozone Inject Disabled, ORP level is out of range.551		
687497	1/1/2016 5:55:01 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687498	1/1/2016 5:55:18 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Stopping		
687499	1/1/2016 5:56:59 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Enabled		
687500	1/1/2016 5:57:00 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Enabled		
687501	1/1/2016 10:50:59 AM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687502	1/1/2016 11:47:19 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 484		
687503	1/1/2016 11:49:42 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687504	1/1/2016 12:27:27 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687505	1/1/2016 1:23:16 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Starting		
687506	1/1/2016 1:37:10 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Stopping		
687507	1/1/2016 3:03:25 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 494		
687508	1/1/2016 3:04:13 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687509	1/1/2016 3:29:28 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687510	1/1/2016 3:29:45 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Starting Backwash		
687511	1/1/2016 4:03:24 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter run time since last backwash: 16:46		
687512	1/1/2016 4:26:34 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 490		
687513	1/1/2016 4:28:15 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687514	1/1/2016 4:47:19 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687515	1/1/2016 4:47:36 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Enabled		
687516	1/1/2016 5:25:06 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 491		
687517	1/1/2016 5:26:36 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687518	1/1/2016 7:32:04 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 484		
